rule	support	confidence	lift
(' Molinara"',) ==> ('"Corvina',)	0.011	1.000	89.739
('"Corvina',) ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> (' Rondinella', '"Corvina')	0.011	1.000	89.739
('"Corvina',) ==> (' Molinara"', ' Rondinella')	0.011	1.000	89.739
(' Molinara"', ' Rondinella') ==> ('"Corvina',)	0.011	1.000	89.739
(' Rondinella', '"Corvina') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> ('"Corvina', 'Italy')	0.011	1.000	89.739
('"Corvina',) ==> (' Molinara"', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'Italy') ==> ('"Corvina',)	0.011	1.000	89.739
('"Corvina', 'Italy') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> ('Veneto', '"Corvina')	0.011	1.000	89.739
('"Corvina',) ==> ('Veneto', ' Molinara"')	0.011	1.000	89.739
('Veneto', ' Molinara"') ==> ('"Corvina',)	0.011	1.000	89.739
('Veneto', '"Corvina') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> ('"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina',) ==> (' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'NoRegion_2') ==> ('"Corvina',)	0.011	1.000	89.739
('"Corvina', 'NoRegion_2') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> (' Rondinella', '"Corvina', 'Italy')	0.011	1.000	89.739
('"Corvina',) ==> (' Molinara"', ' Rondinella', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'Italy') ==> (' Rondinella', '"Corvina')	0.011	1.000	89.739
(' Molinara"', ' Rondinella') ==> ('"Corvina', 'Italy')	0.011	1.000	89.739
('"Corvina', 'Italy') ==> (' Molinara"', ' Rondinella')	0.011	1.000	89.739
(' Rondinella', '"Corvina') ==> (' Molinara"', 'Italy')	0.011	1.000	89.739
(' Molinara"', ' Rondinella', 'Italy') ==> ('"Corvina',)	0.011	1.000	89.739
(' Rondinella', '"Corvina', 'Italy') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> ('Veneto', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina',) ==> ('Veneto', ' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', ' Molinara"') ==> ('"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', '"Corvina') ==> (' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'NoRegion_2') ==> ('Veneto', '"Corvina')	0.011	1.000	89.739
('"Corvina', 'NoRegion_2') ==> ('Veneto', ' Molinara"')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'NoRegion_2') ==> ('"Corvina',)	0.011	1.000	89.739
('Veneto', '"Corvina', 'NoRegion_2') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> ('NoRegion_2', '"Corvina', 'Italy')	0.011	1.000	89.739
('"Corvina',) ==> ('NoRegion_2', ' Molinara"', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'Italy') ==> ('"Corvina', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'NoRegion_2') ==> ('"Corvina', 'Italy')	0.011	1.000	89.739
('"Corvina', 'Italy') ==> (' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina', 'NoRegion_2') ==> (' Molinara"', 'Italy')	0.011	1.000	89.739
('NoRegion_2', ' Molinara"', 'Italy') ==> ('"Corvina',)	0.011	1.000	89.739
('NoRegion_2', '"Corvina', 'Italy') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> ('Veneto', '"Corvina', 'Italy')	0.011	1.000	89.739
('"Corvina',) ==> ('Veneto', ' Molinara"', 'Italy')	0.011	1.000	89.739
('Veneto', ' Molinara"') ==> ('"Corvina', 'Italy')	0.011	1.000	89.739
('Veneto', '"Corvina') ==> (' Molinara"', 'Italy')	0.011	1.000	89.739
(' Molinara"', 'Italy') ==> ('Veneto', '"Corvina')	0.011	1.000	89.739
('"Corvina', 'Italy') ==> ('Veneto', ' Molinara"')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'Italy') ==> ('"Corvina',)	0.011	1.000	89.739
('Veneto', '"Corvina', 'Italy') ==> (' Molinara"',)	0.011	1.000	89.739
