frequent_item_set	support
('NoRegion_2',)	0.596
('US',)	0.413
('NoDesignation',)	0.303
('California',)	0.295
('California', 'US')	0.295
('NoRegion_1',)	0.166
('NoRegion_1', 'NoRegion_2')	0.166
('NoDesignation', 'NoRegion_2')	0.160
('Italy',)	0.156
('Italy', 'NoRegion_2')	0.156
('NoDesignation', 'US')	0.146
('France',)	0.140
('France', 'NoRegion_2')	0.140
('California', 'NoDesignation')	0.104
('California', 'NoDesignation', 'US')	0.104
('Chardonnay',)	0.096
('Pinot Noir',)	0.095
('Central Coast',)	0.087
('California', 'Central Coast')	0.087
('Central Coast', 'US')	0.087
('Central Coast', 'California', 'US')	0.087
('Cabernet Sauvignon',)	0.085
('Sonoma',)	0.075
('California', 'Sonoma')	0.075
('US', 'Sonoma')	0.075
('California', 'US', 'Sonoma')	0.075
('Pinot Noir', 'US')	0.069
('Red Blend',)	0.067
('Washington',)	0.065
('US', 'Washington')	0.065
('US', 'Cabernet Sauvignon')	0.061
('Columbia Valley',)	0.061
('Columbia Valley', 'US')	0.061
('Columbia Valley', 'Washington')	0.061
('Columbia Valley', 'US', 'Washington')	0.061
('Napa',)	0.060
('US', 'Napa')	0.060
('California', 'Napa')	0.060
('California', 'US', 'Napa')	0.060
('Spain',)	0.055
('Spain', 'NoRegion_2')	0.055
('Chardonnay', 'US')	0.054
('California', 'Pinot Noir')	0.051
('California', 'Pinot Noir', 'US')	0.051
('California', 'Cabernet Sauvignon')	0.049
('California', 'US', 'Cabernet Sauvignon')	0.049
('Bordeaux-style Red Blend',)	0.049
('Tuscany',)	0.048
('Tuscany', 'NoRegion_2')	0.048
('Italy', 'Tuscany')	0.048
('Tuscany', 'Italy', 'NoRegion_2')	0.048
('Red Blend', 'NoRegion_2')	0.045
('France', 'NoDesignation')	0.044
('France', 'NoDesignation', 'NoRegion_2')	0.044
('NoDesignation', 'Italy')	0.044
('NoDesignation', 'Italy', 'NoRegion_2')	0.044
('California', 'Chardonnay')	0.043
('California', 'Chardonnay', 'US')	0.043
('Chardonnay', 'NoRegion_2')	0.043
('Sauvignon Blanc',)	0.042
('Napa Valley',)	0.041
('US', 'Napa Valley')	0.041
('California', 'Napa Valley')	0.041
('California', 'US', 'Napa Valley')	0.041
('Napa', 'Napa Valley')	0.041
('Napa Valley', 'California', 'Napa')	0.041
('Napa Valley', 'US', 'Napa')	0.041
('Napa', 'California', 'Napa Valley', 'US')	0.041
('Bordeaux',)	0.040
('France', 'Bordeaux')	0.040
('Bordeaux', 'NoRegion_2')	0.040
('France', 'Bordeaux', 'NoRegion_2')	0.040
('Syrah',)	0.039
('Chile',)	0.039
('Chile', 'NoRegion_2')	0.039
('NoRegion_1', 'Chile')	0.039
('NoRegion_1', 'Chile', 'NoRegion_2')	0.039
('Argentina',)	0.037
('Argentina', 'NoRegion_2')	0.037
('Bordeaux-style Red Blend', 'NoRegion_2')	0.037
('Riesling',)	0.037
('NoRegion_1', 'NoDesignation')	0.036
('NoRegion_1', 'NoDesignation', 'NoRegion_2')	0.036
('Portugal',)	0.035
('NoRegion_1', 'Portugal')	0.035
('Portugal', 'NoRegion_2')	0.035
('NoRegion_1', 'Portugal', 'NoRegion_2')	0.035
('NoDesignation', 'Cabernet Sauvignon')	0.035
('Merlot',)	0.034
('Chardonnay', 'NoDesignation')	0.033
('Columbia Valley (WA)',)	0.033
('US', 'Columbia Valley (WA)')	0.033
('Columbia Valley', 'Columbia Valley (WA)')	0.033
('Washington', 'Columbia Valley (WA)')	0.033
('Columbia Valley', 'Washington', 'Columbia Valley (WA)')	0.033
('US', 'Washington', 'Columbia Valley (WA)')	0.033
('Columbia Valley', 'US', 'Columbia Valley (WA)')	0.033
('Washington', 'Columbia Valley', 'US', 'Columbia Valley (WA)')	0.033
('France', 'Bordeaux-style Red Blend')	0.033
('Bordeaux-style Red Blend', 'France', 'NoRegion_2')	0.033
('Australia',)	0.033
('Australia', 'NoRegion_2')	0.033
('Northern Spain',)	0.032
('Northern Spain', 'Spain')	0.032
('Northern Spain', 'NoRegion_2')	0.032
('Northern Spain', 'Spain', 'NoRegion_2')	0.032
('Bordeaux', 'Bordeaux-style Red Blend')	0.032
('Bordeaux-style Red Blend', 'Bordeaux', 'NoRegion_2')	0.032
('France', 'Bordeaux', 'Bordeaux-style Red Blend')	0.032
('Bordeaux-style Red Blend', 'France', 'Bordeaux', 'NoRegion_2')	0.032
('Mendoza Province',)	0.031
('Mendoza Province', 'Argentina')	0.031
('Mendoza Province', 'NoRegion_2')	0.031
('NoRegion_2', 'Mendoza Province', 'Argentina')	0.031
('Oregon',)	0.030
('US', 'Oregon')	0.030
('Burgundy',)	0.029
('Burgundy', 'NoRegion_2')	0.029
('France', 'Burgundy')	0.029
('France', 'Burgundy', 'NoRegion_2')	0.029
('Syrah', 'US')	0.028
('Cabernet Sauvignon', 'Napa')	0.028
('California', 'Cabernet Sauvignon', 'Napa')	0.028
('US', 'Cabernet Sauvignon', 'Napa')	0.028
('California', 'Napa', 'US', 'Cabernet Sauvignon')	0.028
('NoDesignation', 'Cabernet Sauvignon', 'US')	0.028
('NoDesignation', 'Pinot Noir')	0.027
('Piedmont',)	0.027
('Piedmont', 'NoRegion_2')	0.027
('Piedmont', 'Italy')	0.027
('Piedmont', 'Italy', 'NoRegion_2')	0.027
('Pinot Noir', 'NoRegion_2')	0.027
('Veneto',)	0.026
('Veneto', 'Italy')	0.026
('Veneto', 'NoRegion_2')	0.026
('Veneto', 'NoRegion_2', 'Italy')	0.026
('Riesling', 'NoRegion_2')	0.026
('Central Coast', 'NoDesignation')	0.026
('Central Coast', 'California', 'NoDesignation')	0.026
('Central Coast', 'NoDesignation', 'US')	0.026
('California', 'US', 'Central Coast', 'NoDesignation')	0.026
('Zinfandel',)	0.025
('Cabernet Sauvignon', 'NoRegion_2')	0.025
('Zinfandel', 'US')	0.025
